x;ln;log2;log3;log5;log10
0.0010000000;-6.9077552790;-9.9657842847;-6.2877098229;-4.2920296742;-3.0000000000
0.0050000000;-5.2983173665;-7.6438561898;-4.8227363022;-3.2920296742;-2.3010299957
0.0100000000;-4.6051701860;-6.6438561898;-4.1918065486;-2.8613531161;-2.0000000000
0.0200000000;-3.9120230054;-5.6438561898;-3.5608767950;-2.4306765581;-1.6989700043
0.0500000000;-2.9957322736;-4.3219280949;-2.7268330279;-1.8613531161;-1.3010299957
0.0700000000;-2.6592600369;-3.8365012677;-2.4205627994;-1.6522911610;-1.1549019600
0.1000000000;-2.3025850930;-3.3219280949;-2.0959032743;-1.4306765581;-1.0000000000
0.1500000000;-1.8971199849;-2.7369655942;-1.7268330279;-1.1787469217;-0.8239087409
0.2000000000;-1.6094379124;-2.3219280949;-1.4649735207;-1.0000000000;-0.6989700043
0.3000000000;-1.2039728043;-1.7369655942;-1.0959032743;-0.7480703636;-0.5228787453
0.4000000000;-0.9162907319;-1.3219280949;-0.8340437671;-0.5693234419;-0.3979400087
0.5000000000;-0.6931471806;-1.0000000000;-0.6309297536;-0.4306765581;-0.3010299957
0.6000000000;-0.5108256238;-0.7369655942;-0.4649735207;-0.3173938055;-0.2218487496
0.7000000000;-0.3566749439;-0.5145731728;-0.3246595251;-0.2216146030;-0.1549019600
0.8000000000;-0.2231435513;-0.3219280949;-0.2031140136;-0.1386468839;-0.0969100130
0.9000000000;-0.1053605157;-0.1520030934;-0.0959032743;-0.0654641691;-0.0457574906
0.9500000000;-0.0512932944;-0.0740005814;-0.0466891686;-0.0318703157;-0.0222763947
0.9900000000;-0.0100503359;-0.0144995697;-0.0091482099;-0.0062446248;-0.0043648054
1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.0100000000;0.0099503309;0.0143552930;0.0090571815;0.0061824882;0.0043213738
1.0500000000;0.0487901642;0.0703893279;0.0444107213;0.0303150335;0.0211892991
1.1000000000;0.0953101798;0.1375035237;0.0867550644;0.0592195443;0.0413926852
1.2000000000;0.1823215568;0.2630344058;0.1659562329;0.1132827526;0.0791812460
1.3000000000;0.2623642645;0.3785116233;0.2388142452;0.1630160831;0.1139433523
1.4000000000;0.3364722366;0.4854268272;0.3062702284;0.2090619551;0.1461280357
1.5000000000;0.4054651081;0.5849625007;0.3690702464;0.2519296364;0.1760912591
1.6000000000;0.4700036292;0.6780719051;0.4278157400;0.2920296742;0.2041199827
1.7000000000;0.5306282511;0.7655347464;0.4829986489;0.3296978696;0.2304489214
1.8000000000;0.5877866649;0.8479969066;0.5350264793;0.3652123890;0.2552725051
1.9000000000;0.6418538862;0.9259994186;0.5842405850;0.3988062424;0.2787536010
2.0000000000;0.6931471806;1.0000000000;0.6309297536;0.4306765581;0.3010299957
2.2000000000;0.7884573604;1.1375035237;0.7176848179;0.4898961024;0.3424226808
2.5000000000;0.9162907319;1.3219280949;0.8340437671;0.5693234419;0.3979400087
2.7000000000;0.9932517730;1.4329594073;0.9040967257;0.6171420254;0.4313637642
3.0000000000;1.0986122887;1.5849625007;1.0000000000;0.6826061945;0.4771212547
3.5000000000;1.2527629685;1.8073549221;1.1403139956;0.7783853970;0.5440680444
4.0000000000;1.3862943611;2.0000000000;1.2618595071;0.8613531161;0.6020599913
4.5000000000;1.5040773968;2.1699250014;1.3690702464;0.9345358309;0.6532125138
5.0000000000;1.6094379124;2.3219280949;1.4649735207;1.0000000000;0.6989700043
6.0000000000;1.7917594692;2.5849625007;1.6309297536;1.1132827526;0.7781512504
7.0000000000;1.9459101491;2.8073549221;1.7712437492;1.2090619551;0.8450980400
8.0000000000;2.0794415417;3.0000000000;1.8927892607;1.2920296742;0.9030899870
9.0000000000;2.1972245773;3.1699250014;2.0000000000;1.3652123890;0.9542425094
10.0000000000;2.3025850930;3.3219280949;2.0959032743;1.4306765581;1.0000000000
15.0000000000;2.7080502011;3.9068905956;2.4649735207;1.6826061945;1.1760912591
20.0000000000;2.9957322736;4.3219280949;2.7268330279;1.8613531161;1.3010299957
30.0000000000;3.4011973817;4.9068905956;3.0959032743;2.1132827526;1.4771212547
50.0000000000;3.9120230054;5.6438561898;3.5608767950;2.4306765581;1.6989700043
70.0000000000;4.2484952420;6.1292830169;3.8671470235;2.6397385132;1.8450980400
100.0000000000;4.6051701860;6.6438561898;4.1918065486;2.8613531161;2.0000000000
