x;sin;cos;tan;cot;sec;csc
-6.2831853072;0.0000000000;1.0000000000;0.0000000000;Infinity;1.0000000000;Infinity
-5.7595865316;0.5000000000;0.8660254038;0.5773502692;1.7320508076;1.1547005384;2.0000000000
-5.2359877560;0.8660254038;0.5000000000;1.7320508076;0.5773502692;2.0000000000;1.1547005384
-4.7123889804;1.0000000000;-0.0000000000;-5443746451065123.0000000000;-0.0000000000;Infinity;1.0000000000
-4.1887902048;0.8660254038;-0.5000000000;-1.7320508076;-0.5773502692;-2.0000000000;1.1547005384
-3.6651914292;0.5000000000;-0.8660254038;-0.5773502692;-1.7320508076;-1.1547005384;2.0000000000
-3.1415926536;-0.0000000000;-1.0000000000;0.0000000000;Infinity;-1.0000000000;Infinity
-2.6179938780;-0.5000000000;-0.8660254038;0.5773502692;1.7320508076;-1.1547005384;-2.0000000000
-2.0943951024;-0.8660254038;-0.5000000000;1.7320508076;0.5773502692;-2.0000000000;-1.1547005384
-1.5707963268;-1.0000000000;0.0000000000;-16331239353195370.0000000000;-0.0000000000;Infinity;-1.0000000000
-1.0471975512;-0.8660254038;0.5000000000;-1.7320508076;-0.5773502692;2.0000000000;-1.1547005384
-0.5235987756;-0.5000000000;0.8660254038;-0.5773502692;-1.7320508076;1.1547005384;-2.0000000000
-6.0000000000;0.2794154982;0.9601702867;0.2910061914;3.4363530042;1.0414819266;3.5788995473
-5.5000000000;0.7055403256;0.7086697743;0.9955840522;1.0044355349;1.4110944706;1.4173534294
-5.0000000000;0.9589242747;0.2836621855;3.3805150062;0.2958129155;3.5253200858;1.0428352128
-4.5000000000;0.9775301177;-0.2107957994;-4.6373320546;-0.2156412326;-4.7439275484;1.0229863837
-4.0000000000;0.7568024953;-0.6536436209;-1.1578212823;-0.8636911545;-1.5298856565;1.3213487088
-3.5000000000;0.3507832277;-0.9364566873;-0.3745856402;-2.6696164850;-1.0678550472;2.8507634375
-3.0000000000;-0.1411200081;-0.9899924966;0.1425465431;7.0152525514;-1.0101086659;-7.0861673957
-2.5000000000;-0.5984721441;-0.8011436155;0.7470222972;1.3386481283;-1.2482156515;-1.6709215456
-2.0000000000;-0.9092974268;-0.4161468365;2.1850398633;0.4576575544;-2.4029979617;-1.0997501703
-1.5000000000;-0.9974949866;0.0707372017;-14.1014199472;-0.0709148443;14.1368329030;-1.0025113042
-1.0000000000;-0.8414709848;0.5403023059;-1.5574077247;-0.6420926159;1.8508157177;-1.1883951058
-0.5000000000;-0.4794255386;0.8775825619;-0.5463024898;-1.8304877217;1.1394939273;-2.0858296429
-0.1000000000;-0.0998334166;0.9950041653;-0.1003346721;-9.9666444233;1.0050209184;-10.0166861316
-0.0500000000;-0.0499791693;0.9987502604;-0.0500417084;-19.9833305549;1.0012513034;-20.0083357645
-0.0100000000;-0.0099998333;0.9999500004;-0.0100003333;-99.9966666444;1.0000500021;-100.0016666861
-0.0050000000;-0.0049999792;0.9999875000;-0.0050000417;-199.9983333306;1.0000125001;-200.0008333358
-0.0010000000;-0.0009999998;0.9999995000;-0.0010000003;-999.9996666666;1.0000005000;-1000.0001666667
-0.0001000000;-0.0001000000;0.9999999950;-0.0001000000;-9999.9999666667;1.0000000050;-10000.0000166667
0.0000000000;0.0000000000;1.0000000000;0.0000000000;Infinity;1.0000000000;Infinity
