GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
system-function,system,SystemFunction,0,40,0,8,0,11,0,6,0,2
system-function,system,LogBranch,0,79,0,10,0,19,0,7,0,2
system-function,system,TrigBranch,15,242,3,21,3,56,3,11,0,2
system-function,log,Log2,0,26,0,2,0,7,0,3,0,2
system-function,log,Log3,0,26,0,2,0,7,0,3,0,2
system-function,log,Ln,5,147,0,20,2,36,1,15,1,5
system-function,stub,StubModules,30,323,9,23,8,66,9,27,0,20
system-function,stub,TableModule,0,142,0,28,0,31,0,17,0,3
system-function,trig,Sec,0,32,0,4,0,9,0,4,0,2
system-function,trig,Cot,10,35,2,4,2,10,2,3,0,2
system-function,trig,Cos,0,16,0,2,0,6,0,3,0,2
system-function,trig,Tan,10,35,2,4,2,10,2,3,0,2
system-function,trig,Sin,5,137,0,24,2,32,1,15,1,3
system-function,trig,Csc,0,32,0,4,0,9,0,4,0,2
